,0
315,Splurge Read
316,Dennis Wright
317,New Amsterdam
318,Andrew Weil
319,Drew Benson
320,Ron Gross
321,Michael Lynton
322,Ian Snow
323,Robert Priester
324,Terry Cohen
325,Jenn Hyman
326,Michael Wright
327,Juergen Fitschen
328,Dennis Thompson
329,Julian Clarke
330,David Sadigh
331,Parker
332,Josh Wright
333,Mike Duke
334,Sander Levin
335,Leonardo Maugeri
336,David Blass
337,Jane Wardell
338,Marc Caira
339,Mark Whitehouse
340,J.J. Kinahan
341,Bob Graham
342,John Hess
343,Richard Read
344,Johan Palmstruch
345,John Bennett
346,Kahyun Yang
347,Michael Chasen
348,Jose Honorio
349,Maurice Greenberg
350,Joe Davis
351,Anthony Weiner
352,Dave Sekera
353,Jack Kleinbenz
354,William Pitney
355,Hakan Samuelsson
356,Derek Stevens
357,Jeffrey Currie
358,Maurice Emsellem
359,Angelo Mozillo
360,Michael Davis
361,Milken
362,David Kautter
363,Howard Schultz
364,Mark Zandi
365,Larry Bird
366,John Legere(Reuters
367,Gregorio Sablan
368,Momento
369,Starker
370,Mark Lake
371,Martin Fink
372,Jordan Gutman
373,Bob Bronson
374,Murray Jennex
375,Folsom Lake
376,Sheldon Natenberg
377,Dan Crawford
378,Mary Erdoes
379,Glenn Cook
380,David Goel
381,Saul Miller
382,Harry Brooks
383,Brian Graff
384,Brad Klontz
385,Hedayatullah Yahya
386,Tan
387,Ronni Bennett
388,Toby Davis
389,Hubert Burda
390,Stephen Shin
391,Bob Prince
392,Jeremy Cook
393,Jamie Parisi
394,Mufson
395,West Lake
396,Aubrey McClendon
397,Johan Sennero
398,Mark Tibergien
399,Kris Henriksen
400,Cromwell Coulson
401,Larry Downing
402,Robin Brooks
403,Ernst
404,Emmett Shear
405,Brian McAndrews
406,David Crane
407,Ricci
408,Jeffrey Skilling
409,Michael Ash
410,Edward Lorenz
411,Adrian Miller
412,Sabur Moini
413,Mohamed Damak
414,Makoto Watanabe
415,JÃ¼rgen Fitschen
416,Anders Gustafsson
417,Jim McDonald
418,John Byrant
419,Howard Bain
420,Martin Nesirky
421,Tim Davis
422,Dave Goldberg
423,Jimmy Cohen
424,Alon Levy
425,Jenaro Garcia
426,Peter Wetherell
427,Robert Cohen
428,Corker
429,Michael Chen
430,Glenn Murphy
431,Bill Himpler
432,Ian Taylor
433,Schultz
434,Alexei Chaliy
435,Jeremy Stoppelmann
436,John Martin
437,Ron Losby
438,Martha Kramer
439,Brian Moynihan
440,Josh Lederman
441,Alexander Medvedev
442,Wrede
443,Steve Goldstein
444,David Certner
445,Stuart Gulliver
446,Christine Benz
447,Hemingway
448,Nine Towns
449,Dan Snyder
450,Lee Munson
451,Eddie Mair
452,Chuck Roberts
453,Lowell McAdam
454,Wren
455,Dave Lewis
456,John McIlwain
457,John Carney
458,Joe Echevarria
459,Mike Kramer
460,Thomas Joyce
461,Peter Spiegel
462,Harold Hamm
463,Michael Dell
464,Dave McCabe
465,Elizabeth Maresca
466,Josh Peters
467,Pam Krepchin
468,Robert Griffin
469,Bazelon
470,Paul Bernstein
471,Jared Bernstein
472,Jonathan Krinsky
473,Aaron Sheldrick
474,Stephen Kaplan
475,Alan Silbert
476,Barry Paperno
477,Dave Nadig
478,Loraine West
479,Dave Sullivan
480,Duncan Smith
481,Dan Clifton
482,Joseph Tsai
483,Page
484,Rick Johnson
485,Piet Moerland
486,John Standley
487,Neil Blumenthal
488,Steve Cohen
489,Waterson
490,Radha Agrawal
491,Gennadiy Goldberg
492,Brian Cohen
493,David Lenhardt
494,Stephen Down
495,Van Steenis
496,Stephen Blyth
497,Mike Jefferies
498,David Weil
499,Chris Viehbacher
500,James Mitarotonda
501,Daniel Loeb
502,Philip Nash
503,Eddie Bauer
504,Josh Abramson
505,Charles Hulten
506,Alex Algard
507,Henry Paulson
508,Apu Gupta
509,Paul Palmieri
510,Barry Kaye
511,John Mackey
512,Kevin Reddy
513,Sandy Weill
514,Andrew Goldberg
515,David Canter
516,Averell Mortimer
517,Daniel Cohen
518,Adrian Edmondson
519,Tony Posawatz
520,Mark Sweetman
521,Fred Reid
522,Ian Schrager
523,Josh Capon
524,Jeffrey Katzenberg
525,Tony Blinken
526,Joly
527,Angelo Mozilo
528,Marc Ecko
529,Bob Dudley
530,Norman Dreger
531,Bill Daley
532,Mikhail Krylov
533,Jeffrey Goldstein
534,Andrei Belousov
535,Bill Dudley
536,Bob Bradway
537,Joshua Gottlieb
538,Art Cohen
539,Brian Jacobs
540,Alan Gross
541,Eddy Elfenbein
542,Gene Friedman
543,Michael Snyder
544,Yasuchika Hasegawa
545,Ray Day
546,Bob DeRodes
547,Nick Kyrgios
548,Sheng Fu
