,0
532,1%
533,2-5%
534,5%
535,7.3%
536,12.9%
537,7.4%
538,6.1%
539,14%
540,4.5%
541,1.4%
542,99%
543,1.6%
544,25%
545,60%
546,40%
547,2%
548,7.8%
549,8.8%
550,9.9%
551,11.0%
552,60%
553,40%
554,88%
555,48%
556,34%
557,14%
558,28%
559,19%
560,19%
561,10%
562,0.1%
563,2%
564,2.5%
565,3%
566,1%
567,1%
568,50%
569,8%
570,47%
571,27%
572,48%
573,34%
574,18%
575,30%
576,12%
577,40%
578,10%
579,45%
580,12%
581,49%
582,57%
583,7%
584,11%
585,17%
586,10%
587,18%
588,3%
589,10%
590,29.4%
591,30%
592,30%
593,50%
594,45%
595,50%
596,5%
597,16%
598,30%
599,30%
600,10.1%
601,7.1%
602,5%
603,40%
604,19%
605,16.8%
606,7.1%
607,50%
608,10-15%
609,-2%
610,3%
611,9%
612,65%
613,55%
614,14.93%
615,28.37%
616,30.05%
617,8%
618,5%
619,38%
620,95%
621,84.69%
622,6.5%
623,3.6%
624,4%
625,94%
626,15%
627,20%
628,50%
629,40%
630,10%
631,3%
632,7%
633,0.7%
634,0.3%
635,0.3%
636,3%
637,10%
638,99.9%
639,8.3%
640,60%
641,35%
642,7.5%
643,1%
644,50%
645,40%
646,20%
647,20%
648,22%
649,50%
650,25%
651,30%
652,40%
653,50%
654,16%
655,70%
656,50%
657,2.2%
658,55%
659,2%
660,0.7%
661,0.5%
662,4%
663,38.2%
664,30%
665,35%
666,8.24%
667,3.7%
668,69%
669,10.14%
670,3.5%
671,49.6%
672,37.6%
673,29.9%
674,22.3%
675,19.7%
676,15.3%
677,39%
678,54%
679,35%
680,3.7%
681,10.14%
682,8.2%
683,5.5%
684,6.5%
685,7.7%
686,13%
687,0.6%
688,0.4%
689,0.5%
690,0.2%
691,0.2%
692,0.3%
693,0.3%
694,0.4%
695,17%
696,50%
697,19.7%
698,21%
699,60%
700,24%
701,25%
702,61%
703,9%
704,2.7%
705,1.5%
706,3%
707,0.2%
708,0.3%
709,0.1%
710,0.2%
711,0.1%
712,0.1%
713,0.24%
714,0.6%
715,0.7%
716,30%
717,75.1%
718,31.4%
719,2%
720,4.8%
721,6.5%
722,5%
723,5%
724,100%
725,100%
726,0.62%
727,100%
728,100%
729,85%
730,42%
731,100%
732,100%
733,-3.5%
734,3%
735,2%
736,1.0%
737,11%
738,35%
739,17.9%
740,32.1%
741,28%
742,200%
743,10%
744,34%
745,27.7%
746,36.8%
747,29.2%
748,28.3%
749,27.7%
750,25.1%
751,20.6%
752,60%
753,48%
754,15%
755,17.4%
756,15.9%
757,27.6%
758,28.3%
759,17.9%
760,65%
761,25%
762,2%
763,2%
764,2.3%
765,10.7%
766,16.5%
767,15%
768,12%
769,11%
770,16%
771,32%
772,36%
773,53.5%
774,10%
775,15%
776,11%
777,15%
778,11.0%
779,10.4%
780,8.7%
781,8.4%
782,18%
783,2.5%
784,15%
785,5%
786,4%
787,0.1%
788,0.2%
789,78.5%
790,1%
791,0.2%
792,0.6%
793,0.3%
794,2.56%
795,45%
796,1%
797,%
798,10%
799,75%
800,23%
801,230%
802,10%
803,45%
804,2%
805,10%
806,2%
807,2%
808,2%
809,50%
810,15%
811,1%
812,2%
813,4%
814,2%
815,4%
816,15%
817,1.5%
818,1%
819,15%
820,40%
821,5.5%
822,6.8%
823,4.3%
824,3.9%
825,7.5%
826,3.9%
827,11.5%
828,10.7%
829,3.9%
830,4.3%
831,3.8%
832,4.4%
833,4.9%
834,8.3%
835,0.3%
836,28.5%
837,29.3%
838,12.6%
839,35.5%
840,414%
841,7.5%
842,3.5%
843,13.0%
844,7.5%
845,4.0%
846,14.0%
847,8.3%
848,8.0%
849,10.3%
850,20.6%
851,22.0%
852,7.4%
853,7.8%
854,60%
855,45%
856,33%
857,1.7%
858,1.9%
859,1.45%
